Run,Assay,Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center,Name,Consent,DATASTORE,filetype,DATASTORE,provider,DATASTORE,region,Experiment,genotype,GEO_Accession,(exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample,Name,source_name,SRA,Study,treatment,,,,,,,,,
SRR8485394,RNA-Seq,134,5411582496,PRJNA516927,SAMN10815725,2827208337,Embryoid,Bodies,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX5290059,pooled,Ainv15(iAscl1.V5),and,Ainv15(iNeurog2,Tubb3::GFP),GSM3578982,NextSeq,500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus,musculus,ILLUMINA,2019-02-28T00:00:00Z,2019-01-25T03:03:00Z,1,GSM3578982,ES-derived,embryoid,bodies,with,induced,transcription,factors,SRP181957,Dox,induction,+,48,hours
SRR8485395,RNA-Seq,134,5066920024,PRJNA516927,SAMN10815725,2648158132,Embryoid,Bodies,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX5290059,pooled,Ainv15(iAscl1.V5),and,Ainv15(iNeurog2,Tubb3::GFP),GSM3578982,NextSeq,500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus,musculus,ILLUMINA,2019-02-28T00:00:00Z,2019-01-25T03:25:00Z,1,GSM3578982,ES-derived,embryoid,bodies,with,induced,transcription,factors,SRP181957,Dox,induction,+,48,hours
SRR8485396,RNA-Seq,134,5609275108,PRJNA516927,SAMN10815725,2933035210,Embryoid,Bodies,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX5290059,pooled,Ainv15(iAscl1.V5),and,Ainv15(iNeurog2,Tubb3::GFP),GSM3578982,NextSeq,500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus,musculus,ILLUMINA,2019-02-28T00:00:00Z,2019-01-25T02:15:00Z,1,GSM3578982,ES-derived,embryoid,bodies,with,induced,transcription,factors,SRP181957,Dox,induction,+,48,hours
SRR8485397,RNA-Seq,134,5198843024,PRJNA516927,SAMN10815725,2716994279,Embryoid,Bodies,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX5290059,pooled,Ainv15(iAscl1.V5),and,Ainv15(iNeurog2,Tubb3::GFP),GSM3578982,NextSeq,500,PAIRED,cDNA,TRANSCRIPTOMIC,Mus,musculus,ILLUMINA,2019-02-28T00:00:00Z,2019-01-25T02:23:00Z,1,GSM3578982,ES-derived,embryoid,bodies,with,induced,transcription,factors,SRP181957,Dox,induction,+,48,hours
